,Continent,Name
ADO,Europe,Andorra
ARE,Asia,United Arab Emirates
AFG,Asia,Afghanistan
ATG,North America,Antigua and Barbuda
ALB,Europe,Albania
ARM,Asia,Armenia
AGO,Africa,Angola
ARG,South America,Argentina
ASM,Australia and Oceania,American Samoa
AUT,Europe,Austria
AUS,Australia and Oceania,Australia
ABW,North America,Aruba
AZE,Asia,Azerbaijan
BIH,Europe,Bosnia and Herzegovina
BRB,North America,Barbados
BGD,Asia,Bangladesh
BEL,Europe,Belgium
BFA,Africa,Burkina Faso
BGR,Europe,Bulgaria
BHR,Asia,Bahrain
BDI,Africa,Burundi
BEN,Africa,Benin
BMU,North America,Bermuda
BRN,Asia,Brunei Darussalam
BOL,South America,Bolivia
BRA,South America,Brazil
BHS,North America,"Bahamas, The"
BTN,Asia,Bhutan
BWA,Africa,Botswana
BLR,Europe,Belarus
BLZ,North America,Belize
CAN,North America,Canada
ZAR,Africa,"Congo, Dem. Rep."
CAF,Africa,Central African Republic
COG,Africa,"Congo, Rep."
CHE,Europe,Switzerland
CIV,Africa,Cote d'Ivoire
CHL,South America,Chile
CMR,Africa,Cameroon
CHN,Asia,China
COL,South America,Colombia
CRI,North America,Costa Rica
CHI,Australia and Oceania,Channel Islands
CUB,North America,Cuba
CPV,Africa,Cabo Verde
CUW,North America,Curacao
CYP,Asia,Cyprus
CZE,Europe,Czech Republic
DEU,Europe,Germany
DJI,Africa,Djibouti
DNK,Europe,Denmark
DMA,North America,Dominica
DOM,North America,Dominican Republic
DZA,Africa,Algeria
ECU,South America,Ecuador
EST,Europe,Estonia
EGY,Africa,"Egypt, Arab Rep."
ERI,Africa,Eritrea
ESP,Europe,Spain
ETH,Africa,Ethiopia
FIN,Europe,Finland
FJI,Australia and Oceania,Fiji
FSM,Australia and Oceania,"Micronesia, Fed. Sts."
FRO,Europe,Faeroe Islands
FRA,Europe,France
GAB,Africa,Gabon
GBR,Europe,United Kingdom
GRD,North America,Grenada
GEO,Asia,Georgia
GHA,Africa,Ghana
GRL,North America,Greenland
GMB,Africa,"Gambia, The"
GIN,Africa,Guinea
