,ADO,ARE,AFG,ATG,ALB,ARM,AGO,ARG,ASM,AUT,AUS,ABW,AZE,BIH,BRB,BGD,BEL,BFA,BGR,BHR,BDI,BEN,BMU,BRN,BOL,BRA,BHS,BTN,BWA,BLR,BLZ,CAN,ZAR,CAF,COG,CHE,CIV,CHL,CMR,CHN,COL,CRI,CHI,CUB,CPV,CUW,CYP,CZE,DEU,DJI,DNK,DMA,DOM,DZA,ECU,EST,EGY,ERI,ESP,ETH,FIN,FJI,FSM,FRO,FRA,GAB,GBR,GRD,GEO,GHA,GRL,GMB,GIN,GNQ,GRC,GTM,GUM,GNB,GUY,HKG,HND,HRV,HTI,HUN,IDN,IRL,ISR,IMY,IND,IRQ,IRN,ISL,ITA,JAM,JOR,JPN,KEN,KGZ,KHM,KIR,COM,KNA,PRK,KOR,KWT,CYM,KAZ,LAO,LBN,LCA,LIE,LKA,LBR,LSO,LTU,LUX,LVA,LBY,MAR,MCO,MDA,MNE,MAF,MDG,MHL,MKD,MLI,MMR,MNG,MNP,MRT,MLT,MUS,MDV,MWI,MEX,MYS,MOZ,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAN,PER,PYF,PNG,PHL,PAK,POL,PRI,PRT,PLW,PRY,QAT,ROM,SRB,RUS,RWA,SAU,SLB,SYC,SDN,SWE,SGP,SVN,SVK,SLE,SMR,SEN,SOM,SUR,SSD,STP,SLV,SXM,SYR,SWZ,TCA,TCD,TGO,THA,TJK,TMP,TKM,TUN,TON,TUR,TTO,TUV,TWN,TZA,UKR,UGA,USA,URY,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960-01-01,,,61.3,,,,,,,935.0,1810.0,,,,379.0,86.3,1270.0,68.4,,,70.3,93.0,1900.0,,168.0,208.0,1550.0,,58.0,,305.0,2290.0,220.0,74.6,130.0,1790.0,157.0,551.0,115.0,88.7,252.0,380.0,,,,,,,,,1360.0,,203.0,242.0,224.0,,,,396.0,,1180.0,286.0,,,1340.0,284.0,1380.0,,,183.0,,,,,534.0,252.0,,,304.0,429.0,168.0,,,,,686.0,1370.0,,83.8,231.0,,1410.0,804.0,429.0,,479.0,97.6,,111.0,,,242.0,,156.0,,,,,,,,143.0,170.0,40.6,,2240.0,,,165.0,,,,,132.0,,,,,,,108.0,,,,46.2,338.0,299.0,,,,135.0,92.8,128.0,1070.0,1440.0,53.3,2310.0,80.2,366.0,252.0,,117.0,254.0,81.4,,718.0,360.0,,,,,,,40.6,,,288.0,107.0,1980.0,428.0,,,149.0,,249.0,65.5,323.0,,,,,187.0,100.0,,104.0,76.6,101.0,,,,,,508.0,631.0,,,,,62.3,3010.0,490.0,,161.0,1140.0,756.0,,,,,423.0,227.0,281.0
1961-01-01,,,61.3,,,,,,,1030.0,1870.0,,,,402.0,94.5,1350.0,71.6,,,71.5,95.6,1960.0,,179.0,203.0,1650.0,,61.3,,316.0,2230.0,197.0,80.5,146.0,1970.0,172.0,600.0,120.0,75.0,276.0,355.0,,,,,,,,,1500.0,,191.0,211.0,211.0,,,,450.0,,1330.0,287.0,,,1450.0,333.0,1450.0,,,190.0,,,,,597.0,253.0,,,323.0,483.0,172.0,,,,,739.0,1600.0,,87.0,245.0,,1420.0,887.0,453.0,,564.0,94.8,,110.0,,,244.0,,91.5,,,,,,,,143.0,161.0,41.2,,2220.0,,,159.0,,,,,134.0,,,,,,,122.0,,,,48.4,354.0,287.0,,,,142.0,96.8,133.0,1160.0,1560.0,54.8,2340.0,80.8,396.0,276.0,,122.0,267.0,86.9,,777.0,383.0,,,,,,,40.7,,,270.0,114.0,2150.0,449.0,,,150.0,,256.0,68.1,330.0,,,,,199.0,120.0,,109.0,79.1,108.0,,,,,,284.0,676.0,,,,,63.0,3070.0,603.0,,170.0,1130.0,754.0,,,,,431.0,215.0,283.0
1962-01-01,,,59.8,,,,,1150.0,,1090.0,1850.0,,,,417.0,97.0,1440.0,76.5,,,73.8,94.5,2020.0,,191.0,258.0,1750.0,,64.8,,327.0,2260.0,236.0,80.0,156.0,2130.0,173.0,684.0,125.0,70.1,293.0,335.0,,,,,,,,,1680.0,,233.0,169.0,201.0,,,,520.0,,1410.0,292.0,,,1590.0,359.0,1510.0,,,195.0,,,,35.4,631.0,262.0,,,329.0,522.0,181.0,,,,,797.0,1130.0,,91.7,255.0,,1560.0,990.0,463.0,,634.0,101.0,,110.0,,,246.0,,104.0,,,,,,,,140.0,164.0,47.5,,2310.0,,,182.0,,,,,138.0,,,,,,,122.0,,,,49.6,369.0,292.0,,,,151.0,104.0,143.0,1240.0,1670.0,58.1,2450.0,97.2,419.0,304.0,,128.0,157.0,88.4,,855.0,408.0,,,,,,,41.0,,,287.0,120.0,2320.0,472.0,,,154.0,,255.0,70.8,338.0,,,,,227.0,126.0,,115.0,82.0,114.0,,,,,,309.0,704.0,,,,,62.0,3240.0,656.0,,175.0,1210.0,1020.0,,,,,448.0,208.0,279.0
1963-01-01,,,80.4,,,,,845.0,,1170.0,1960.0,,,,467.0,98.7,1540.0,78.4,,,78.9,99.8,2020.0,,201.0,289.0,1870.0,,67.5,,337.0,2350.0,377.0,81.6,157.0,2290.0,196.0,664.0,127.0,73.4,277.0,345.0,,,,,,,,,1780.0,,257.0,223.0,211.0,,,,609.0,,1520.0,297.0,,,1760.0,300.0,1590.0,,,211.0,,,,41.5,702.0,281.0,,,289.0,577.0,186.0,,,,,852.0,1260.0,,103.0,251.0,,1830.0,1130.0,484.0,,718.0,104.0,,118.0,,,254.0,,142.0,,,,,,,,117.0,167.0,52.4,,2440.0,,,198.0,,,,,138.0,,,,,,,122.0,,,,50.4,398.0,301.0,,,,162.0,107.0,153.0,1330.0,1780.0,49.4,2620.0,101.0,450.0,324.0,,133.0,168.0,92.5,,932.0,433.0,,,,,,,41.3,,,308.0,119.0,2490.0,511.0,,,155.0,,257.0,73.6,349.0,,,,,237.0,145.0,,117.0,87.8,118.0,,,,,,350.0,760.0,,,,,68.9,3370.0,584.0,,163.0,1260.0,1070.0,,,,,485.0,209.0,280.0
1964-01-01,,,83.8,,,,,1170.0,,1270.0,2130.0,,,,462.0,97.0,1700.0,80.5,,,86.6,104.0,2200.0,,222.0,259.0,1990.0,,71.8,,351.0,2530.0,170.0,87.9,165.0,2500.0,227.0,685.0,134.0,84.6,332.0,354.0,,,,,,,,,2010.0,,271.0,234.0,228.0,,,,675.0,,1710.0,311.0,,,1920.0,412.0,1730.0,,,230.0,,,,48.0,785.0,282.0,,,312.0,649.0,200.0,,,,,965.0,1380.0,,118.0,288.0,,2300.0,1220.0,518.0,,836.0,109.0,,124.0,,,269.0,,120.0,,,,,,,,121.0,179.0,56.7,,2760.0,,,203.0,,,,,143.0,,,,,,,158.0,,,,50.2,457.0,312.0,,,,156.0,113.0,173.0,1540.0,1940.0,48.4,2810.0,102.0,469.0,381.0,,144.0,176.0,102.0,,1010.0,469.0,,,,,,,41.1,,,332.0,119.0,2760.0,485.0,,,163.0,,265.0,76.5,374.0,,,,,256.0,170.0,,121.0,99.9,126.0,,,,,,369.0,788.0,,,,,76.0,3570.0,741.0,,173.0,1040.0,1300.0,,,,,519.0,237.0,284.0
1965-01-01,,,103.0,,,,,1270.0,,1370.0,2280.0,,,,487.0,103.0,1840.0,81.7,,,51.6,110.0,2280.0,1110.0,242.0,258.0,2140.0,,76.8,,378.0,2740.0,233.0,91.3,171.0,2620.0,218.0,700.0,136.0,97.5,312.0,375.0,,,,,,,,,2240.0,,228.0,246.0,458.0,,159.0,,775.0,,1880.0,317.0,,,2050.0,426.0,1850.0,,,266.0,,,,240.0,889.0,281.0,,,333.0,677.0,216.0,,,,,1020.0,1430.0,,122.0,,246.0,2720.0,1300.0,552.0,532.0,920.0,105.0,,134.0,,,276.0,,105.0,4350.0,,,,,,,152.0,183.0,58.8,,2780.0,,,208.0,,,,,144.0,,,,,,,174.0,,,,57.7,481.0,333.0,,,1760.0,176.0,117.0,274.0,1710.0,2160.0,70.4,2150.0,101.0,500.0,438.0,1890.0,159.0,187.0,114.0,,1110.0,521.0,,184.0,,,,,46.0,,,328.0,121.0,3010.0,516.0,,,155.0,,262.0,79.4,417.0,,,271.0,,273.0,179.0,,126.0,110.0,138.0,,,,214.0,,385.0,807.0,,,,,110.0,3830.0,701.0,,176.0,1060.0,1510.0,,,,,555.0,296.0,297.0
1966-01-01,,,140.0,,,,,1270.0,,1490.0,2340.0,,,,524.0,109.0,1960.0,82.5,,,52.5,113.0,2630.0,1240.0,259.0,312.0,2320.0,,83.9,,406.0,3010.0,254.0,93.8,185.0,2780.0,233.0,793.0,139.0,103.0,285.0,397.0,,,,,,,,,2440.0,,245.0,232.0,453.0,,162.0,,890.0,,2010.0,316.0,,,2190.0,454.0,1960.0,,,269.0,,108.0,,251.0,982.0,286.0,,,348.0,686.0,227.0,,,,,1070.0,1510.0,,91.8,,261.0,3220.0,1400.0,615.0,548.0,1060.0,119.0,,139.0,,,299.0,,129.0,4480.0,,,,,,,153.0,190.0,59.6,,2900.0,,,198.0,,,,,152.0,,,,,,,176.0,,,,63.9,520.0,345.0,,,1760.0,178.0,124.0,286.0,1840.0,2320.0,85.2,2190.0,106.0,529.0,504.0,2230.0,177.0,200.0,122.0,,1210.0,575.0,,188.0,,,,,37.5,,,338.0,120.0,3240.0,567.0,,,159.0,,262.0,81.9,501.0,,,278.0,,241.0,192.0,,128.0,122.0,161.0,,,,220.0,,445.0,787.0,,,,,112.0,4150.0,664.0,,185.0,1070.0,1780.0,,,,,592.0,336.0,281.0
1967-01-01,,,164.0,,,,,1060.0,,1570.0,2580.0,,,,580.0,119.0,2090.0,84.4,,,55.1,112.0,2980.0,1230.0,276.0,344.0,2560.0,,92.9,,420.0,3170.0,184.0,95.3,194.0,2960.0,236.0,765.0,149.0,95.5,291.0,416.0,,,,,,,,,2640.0,,250.0,250.0,462.0,,165.0,,968.0,,2030.0,333.0,,,2350.0,491.0,2020.0,,,217.0,,112.0,,256.0,1050.0,291.0,,,370.0,723.0,241.0,,,,56.6,1150.0,1430.0,,98.2,,281.0,3130.0,1530.0,636.0,494.0,1230.0,121.0,,144.0,,,353.0,,156.0,4170.0,,,,,,,159.0,198.0,61.0,,2910.0,,,205.0,,,,,158.0,,,50.1,,,,182.0,,,,64.6,550.0,348.0,,,1870.0,164.0,99.2,300.0,1990.0,2510.0,77.5,2190.0,162.0,572.0,497.0,2210.0,196.0,207.0,136.0,,1340.0,647.0,,196.0,,,,,46.7,,173.0,333.0,126.0,3490.0,626.0,,,145.0,,255.0,84.2,565.0,,,284.0,,274.0,182.0,,131.0,125.0,167.0,,,,225.0,,483.0,823.0,,,,,113.0,4340.0,581.0,,180.0,1080.0,2270.0,,,,,646.0,352.0,296.0
1968-01-01,,,131.0,,,,,1140.0,,1680.0,2720.0,,,,579.0,119.0,2220.0,84.7,,,55.2,117.0,2830.0,1360.0,226.0,371.0,2800.0,,102.0,,387.0,3410.0,207.0,109.0,199.0,3120.0,267.0,767.0,164.0,90.4,292.0,448.0,,,,,,,,,2710.0,,253.0,277.0,454.0,,176.0,,951.0,,1910.0,335.0,,,2540.0,521.0,1900.0,,,203.0,,96.7,,234.0,1130.0,314.0,,,332.0,714.0,253.0,,,,68.9,1120.0,1410.0,,102.0,313.0,312.0,2350.0,1650.0,594.0,413.0,1450.0,129.0,,157.0,,,315.0,,193.0,4160.0,,,,,,,150.0,205.0,62.0,,3180.0,,,214.0,,,,,166.0,,,61.8,,,,194.0,,,,57.2,590.0,353.0,,,2170.0,154.0,97.0,307.0,2190.0,2660.0,69.6,1890.0,278.0,598.0,448.0,2510.0,210.0,225.0,144.0,,1480.0,719.0,,202.0,,,,,48.8,781.0,187.0,314.0,128.0,3680.0,708.0,,,135.0,,260.0,86.6,612.0,,,285.0,,294.0,189.0,,130.0,124.0,175.0,,,,246.0,,527.0,815.0,,,,,117.0,4700.0,574.0,,173.0,1140.0,3180.0,,,,,684.0,401.0,304.0
1969-01-01,,,131.0,,,,,1320.0,,1830.0,2990.0,,,,650.0,131.0,2460.0,86.5,,,56.1,116.0,3050.0,1300.0,234.0,400.0,3220.0,,115.0,,397.0,3700.0,259.0,105.0,204.0,3340.0,272.0,870.0,175.0,98.9,308.0,481.0,,,,,,,,,3070.0,,280.0,298.0,532.0,,193.0,,1080.0,,2180.0,357.0,,,2730.0,551.0,2030.0,,,234.0,,104.0,,230.0,1280.0,325.0,,,352.0,826.0,255.0,,,,79.1,1290.0,1590.0,,110.0,314.0,340.0,2040.0,1810.0,646.0,487.0,1670.0,134.0,,142.0,,,348.0,,237.0,3990.0,,,,,,,160.0,222.0,65.2,,3660.0,,,234.0,,,,,165.0,,,60.3,,,,179.0,,,,60.4,633.0,381.0,,,2530.0,146.0,121.0,322.0,2450.0,2880.0,69.7,2080.0,343.0,638.0,487.0,2270.0,232.0,242.0,150.0,,1660.0,796.0,,212.0,,,,,51.8,805.0,185.0,314.0,137.0,3970.0,812.0,,,165.0,,240.0,88.7,635.0,,,289.0,,364.0,243.0,,132.0,132.0,187.0,,,,256.0,,573.0,831.0,,,,,128.0,5030.0,717.0,,186.0,1150.0,3610.0,,,,,755.0,475.0,347.0
