,Name,Partisan,State,Date,Trump,Clinton,Other,Undecided
0,2016 Texas President: Trump vs. Clinton,Pollster,TX,2016-08-09,46.0,36.0,9.0,9.0
0,2016 Texas President: Trump vs. Clinton,Pollster,TX,2016-08-14,44.0,38.0,0.0,10.0
0,2016 Texas President: Trump vs. Clinton,Pollster,TX,2016-08-14,50.0,44.0,6.0,0.0
0,2016 Texas President: Trump vs. Clinton,Nonpartisan,TX,2016-06-19,41.0,33.0,19.0,8.0
0,2016 Texas President: Trump vs. Clinton,Nonpartisan,TX,2015-09-21,39.0,37.0,0.0,25.0
0,2016 South Carolina President: Trump vs. Clinton,Sponsor,SC,2016-08-21,39.0,39.0,1.0,16.0
0,2016 South Carolina President: Trump vs. Clinton,Sponsor,SC,2016-08-21,45.0,43.0,0.0,12.0
0,2016 South Carolina President: Trump vs. Clinton,Nonpartisan,SC,2016-08-17,46.0,42.0,12.0,0.0
0,2016 South Carolina President: Trump vs. Clinton,Nonpartisan,SC,2016-08-17,41.0,37.0,11.0,0.0
0,2016 South Carolina President: Trump vs. Clinton,Pollster,SC,2016-08-10,41.0,39.0,2.0,13.0
0,2016 South Carolina President: Trump vs. Clinton,Nonpartisan,SC,2015-11-16,44.0,41.0,0.0,15.0
0,2016 South Carolina President: Trump vs. Clinton,Pollster,SC,2015-11-08,47.0,42.0,0.0,11.0
0,2016 Maine President: Trump vs. Clinton,Nonpartisan,ME,2016-08-08,36.0,46.0,17.0,0.0
0,2016 Maine President: Trump vs. Clinton,Nonpartisan,ME,2016-08-08,33.0,43.0,9.0,0.0
0,2016 Maine President: Trump vs. Clinton,Nonpartisan,ME,2016-06-21,35.0,42.0,19.0,4.0
0,2016 General Election: Trump vs. Clinton,Nonpartisan,US,2016-08-29,41.0,48.0,2.0,9.0
0,2016 General Election: Trump vs. Clinton vs. Johnson,Nonpartisan,US,2016-08-29,35.0,42.0,1.0,10.0
0,2016 General Election: Trump vs. Clinton vs. Johnson,Nonpartisan,US,2016-08-30,40.0,39.0,7.0,0.0
0,2016 General Election: Trump vs. Clinton vs. Johnson,Nonpartisan,US,2016-08-30,39.0,41.0,5.0,0.0
0,2016 General Election: Trump vs. Clinton,Nonpartisan,US,2016-08-30,42.0,48.0,4.0,0.0
0,2016 General Election: Trump vs. Clinton,Nonpartisan,US,2016-08-29,39.0,40.0,7.0,0.0
0,2016 General Election: Trump vs. Clinton vs. Johnson,Nonpartisan,US,2016-08-29,38.0,40.0,7.0,0.0
0,2016 General Election: Trump vs. Clinton vs. Johnson,Nonpartisan,US,2016-08-29,37.0,42.0,2.0,0.0
0,2016 General Election: Trump vs. Clinton vs. Johnson,Pollster,US,2016-08-28,37.0,42.0,1.0,10.0
0,2016 General Election: Trump vs. Clinton,Pollster,US,2016-08-28,43.0,48.0,9.0,0.0
0,2016 General Election: Trump vs. Clinton,Nonpartisan,US,2016-08-28,42.0,48.0,10.0,0.0
0,2016 General Election: Trump vs. Clinton vs. Johnson,Nonpartisan,US,2016-08-28,37.0,41.0,6.0,0.0
0,2016 General Election: Trump vs. Clinton vs. Johnson,Nonpartisan,US,2016-08-28,39.0,46.0,0.0,0.0
0,2016 General Election: Trump vs. Clinton,Nonpartisan,US,2016-08-28,42.0,49.0,0.0,0.0
0,2016 General Election: Trump vs. Clinton,Nonpartisan,US,2016-08-26,40.0,43.0,17.0,0.0
0,2016 General Election: Trump vs. Clinton vs. Johnson,Nonpartisan,US,2016-08-26,37.0,39.0,12.0,0.0
0,2016 General Election: Trump vs. Clinton,Nonpartisan,US,2016-08-24,41.0,51.0,4.0,0.0
